Region,Circonscription,NB_BV,Inscrits,Votants,Taux_Participation,Bulletins_Nuls,Suf_Exprimes,Bull_Blancs_Nombre,Bull_Blancs_Pct,Parti,Candidat,Score,Pourcentage,Elu
AGNEBY-TIASSA,"001 - ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE",144,52106,14070,27.0,388,13682,76,0.56,INDEPENDANT,KOTO EHOU SOPIE,547,4.0,NON
AGNEBY-TIASSA,"001 - ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE",0,0,0,0.0,0,0,0,0.0,RHDP,KOFFI AKA CHARLES,9078,66.35,OUI
AGNEBY-TIASSA,"001 - ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE",0,0,0,0.0,0,0,0,0.0,INDEPENDANT,YEPIE KOUASSI THEODORE,58,0.42,NON
AGNEBY-TIASSA,"001 - ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE",0,0,0,0.0,0,0,0,0.0,INDEPENDANT,TCHIMOU GNAMON BERTRAND,1991,14.55,NON
AGNEBY-TIASSA,"001 - ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE",0,0,0,0.0,0,0,0,0.0,INDEPENDANT,BOKA BOKA MAURICE,674,4.93,NON
AGNEBY-TIASSA,"001 - ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE",0,0,0,0.0,0,0,0,0.0,ADCI,EDI DOFFOU PAUL,331,2.42,NON
AGNEBY-TIASSA,"001 - ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE",0,0,0,0.0,0,0,0,0.0,FPI,N'GUESSAN KOTCHI REMI,474,3.46,NON
AGNEBY-TIASSA,"001 - ABOUDE, ATTOBROU, GUESSIGUIE, GRAND-MORIÉ, LOVIGUIE, ORESS-KROBOU, COMMUNES ET SOUS- PRÉFECTURES, AGBOVILLE SOUS-PRÉFECTURE",0,0,0,0.0,0,0,0,0.0,MGC,NANDO YAVO SERGE,453,3.31,NON
AGNEBY-TIASSA,002 - AGBOVILLE COMMUNE,133,48710,12821,26.32,317,12504,81,0.65,ADCI,OCHOU WROHOUM MARIE-PASCALE,296,2.37,NON
AGNEBY-TIASSA,002 - AGBOVILLE COMMUNE,0,0,0,0.0,0,0,0,0.0,RHDP,DIMBA N'GOU PIERRE,10675,85.37,OUI
AGNEBY-TIASSA,002 - AGBOVILLE COMMUNE,0,0,0,0.0,0,0,0,0.0,INDEPENDANT,OCHO KOKOU BERTRAND,20,0.16,NON
AGNEBY-TIASSA,002 - AGBOVILLE COMMUNE,0,0,0,0.0,0,0,0,0.0,INDEPENDANT,TETCHI EHOUE ANTOINE,75,0.6,NON
AGNEBY-TIASSA,002 - AGBOVILLE COMMUNE,0,0,0,0.0,0,0,0,0.0,INDEPENDANT,N'GOU KOKOLA GRACIASSE,30,0.24,NON
AGNEBY-TIASSA,002 - AGBOVILLE COMMUNE,0,0,0,0.0,0,0,0,0.0,PDCI-RDA,OHOUNA N'TAKPE NICAISE,1327,10.61,NON
AGNEBY-TIASSA,003 - AZAGUIE COMMUNE ET SOUS-PREFECTURE,44,15515,5174,33.35,73,5101,24,0.47,INDEPENDANT,KOUAME YAO FREDERIC,439,8.61,NON
AGNEBY-TIASSA,003 - AZAGUIE COMMUNE ET SOUS-PREFECTURE,0,0,0,0.0,0,0,0,0.0,INDEPENDANT,DOUMBIA HAMED CHEICK YVANN,1549,30.37,NON
AGNEBY-TIASSA,003 - AZAGUIE COMMUNE ET SOUS-PREFECTURE,0,0,0,0.0,0,0,0,0.0,INDEPENDANT,KPATA APPIA EDI JORES,863,16.92,NON
AGNEBY-TIASSA,003 - AZAGUIE COMMUNE ET SOUS-PREFECTURE,0,0,0,0.0,0,0,0,0.0,INDEPENDANT,KIPRE LIPIA MIREILLE,38,0.74,NON
AGNEBY-TIASSA,003 - AZAGUIE COMMUNE ET SOUS-PREFECTURE,0,0,0,0.0,0,0,0,0.0,INDEPENDANT,ADJA OWO GILLES ROGER,96,1.88,NON
